state0_sensors,state0_camera_c,state0_camera_l,state0_camera_r,action,state1_sensors,state1_camera_c,state1_camera_l,state1_camera_r,time
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123605.41.jpg,images/state0_camera_l_1512123605.41.jpg,images/state0_camera_r_1512123605.41.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123605.41.jpg,images/state1_camera_l_1512123605.41.jpg,images/state1_camera_r_1512123605.41.jpg,2017-12-01 10:20:05.407475
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123612.45.jpg,images/state0_camera_l_1512123612.45.jpg,images/state0_camera_r_1512123612.45.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123612.45.jpg,images/state1_camera_l_1512123612.45.jpg,images/state1_camera_r_1512123612.45.jpg,2017-12-01 10:20:12.454683
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123613.89.jpg,images/state0_camera_l_1512123613.89.jpg,images/state0_camera_r_1512123613.89.jpg,forwardLeft,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123613.89.jpg,images/state1_camera_l_1512123613.89.jpg,images/state1_camera_r_1512123613.89.jpg,2017-12-01 10:20:13.891713
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123615.38.jpg,images/state0_camera_l_1512123615.38.jpg,images/state0_camera_r_1512123615.38.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123615.38.jpg,images/state1_camera_l_1512123615.38.jpg,images/state1_camera_r_1512123615.38.jpg,2017-12-01 10:20:15.383368
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123616.79.jpg,images/state0_camera_l_1512123616.79.jpg,images/state0_camera_r_1512123616.79.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123616.79.jpg,images/state1_camera_l_1512123616.79.jpg,images/state1_camera_r_1512123616.79.jpg,2017-12-01 10:20:16.785413
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123618.22.jpg,images/state0_camera_l_1512123618.22.jpg,images/state0_camera_r_1512123618.22.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123618.22.jpg,images/state1_camera_l_1512123618.22.jpg,images/state1_camera_r_1512123618.22.jpg,2017-12-01 10:20:18.215166
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123619.69.jpg,images/state0_camera_l_1512123619.69.jpg,images/state0_camera_r_1512123619.69.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123619.69.jpg,images/state1_camera_l_1512123619.69.jpg,images/state1_camera_r_1512123619.69.jpg,2017-12-01 10:20:19.685867
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123621.51.jpg,images/state0_camera_l_1512123621.51.jpg,images/state0_camera_r_1512123621.51.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123621.51.jpg,images/state1_camera_l_1512123621.51.jpg,images/state1_camera_r_1512123621.51.jpg,2017-12-01 10:20:21.513502
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123623.23.jpg,images/state0_camera_l_1512123623.23.jpg,images/state0_camera_r_1512123623.23.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123623.23.jpg,images/state1_camera_l_1512123623.23.jpg,images/state1_camera_r_1512123623.23.jpg,2017-12-01 10:20:23.231865
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123624.62.jpg,images/state0_camera_l_1512123624.62.jpg,images/state0_camera_r_1512123624.62.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123624.62.jpg,images/state1_camera_l_1512123624.62.jpg,images/state1_camera_r_1512123624.62.jpg,2017-12-01 10:20:24.621413
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123626.09.jpg,images/state0_camera_l_1512123626.09.jpg,images/state0_camera_r_1512123626.09.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123626.09.jpg,images/state1_camera_l_1512123626.09.jpg,images/state1_camera_r_1512123626.09.jpg,2017-12-01 10:20:26.088132
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123627.55.jpg,images/state0_camera_l_1512123627.55.jpg,images/state0_camera_r_1512123627.55.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123627.55.jpg,images/state1_camera_l_1512123627.55.jpg,images/state1_camera_r_1512123627.55.jpg,2017-12-01 10:20:27.550262
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123628.89.jpg,images/state0_camera_l_1512123628.89.jpg,images/state0_camera_r_1512123628.89.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123628.89.jpg,images/state1_camera_l_1512123628.89.jpg,images/state1_camera_r_1512123628.89.jpg,2017-12-01 10:20:28.888201
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123630.24.jpg,images/state0_camera_l_1512123630.24.jpg,images/state0_camera_r_1512123630.24.jpg,forwardRight,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123630.24.jpg,images/state1_camera_l_1512123630.24.jpg,images/state1_camera_r_1512123630.24.jpg,2017-12-01 10:20:30.244708
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123631.7.jpg,images/state0_camera_l_1512123631.7.jpg,images/state0_camera_r_1512123631.7.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123631.7.jpg,images/state1_camera_l_1512123631.7.jpg,images/state1_camera_r_1512123631.7.jpg,2017-12-01 10:20:31.702649
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123633.24.jpg,images/state0_camera_l_1512123633.24.jpg,images/state0_camera_r_1512123633.24.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123633.24.jpg,images/state1_camera_l_1512123633.24.jpg,images/state1_camera_r_1512123633.24.jpg,2017-12-01 10:20:33.240758
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123634.79.jpg,images/state0_camera_l_1512123634.79.jpg,images/state0_camera_r_1512123634.79.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123634.79.jpg,images/state1_camera_l_1512123634.79.jpg,images/state1_camera_r_1512123634.79.jpg,2017-12-01 10:20:34.794463
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123636.17.jpg,images/state0_camera_l_1512123636.17.jpg,images/state0_camera_r_1512123636.17.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123636.17.jpg,images/state1_camera_l_1512123636.17.jpg,images/state1_camera_r_1512123636.17.jpg,2017-12-01 10:20:36.173935
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123637.63.jpg,images/state0_camera_l_1512123637.63.jpg,images/state0_camera_r_1512123637.63.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123637.63.jpg,images/state1_camera_l_1512123637.63.jpg,images/state1_camera_r_1512123637.63.jpg,2017-12-01 10:20:37.634360
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123639.06.jpg,images/state0_camera_l_1512123639.06.jpg,images/state0_camera_r_1512123639.06.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123639.06.jpg,images/state1_camera_l_1512123639.06.jpg,images/state1_camera_r_1512123639.06.jpg,2017-12-01 10:20:39.064077
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123640.49.jpg,images/state0_camera_l_1512123640.49.jpg,images/state0_camera_r_1512123640.49.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123640.49.jpg,images/state1_camera_l_1512123640.49.jpg,images/state1_camera_r_1512123640.49.jpg,2017-12-01 10:20:40.484925
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123641.88.jpg,images/state0_camera_l_1512123641.88.jpg,images/state0_camera_r_1512123641.88.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123641.88.jpg,images/state1_camera_l_1512123641.88.jpg,images/state1_camera_r_1512123641.88.jpg,2017-12-01 10:20:41.883017
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123643.29.jpg,images/state0_camera_l_1512123643.29.jpg,images/state0_camera_r_1512123643.29.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123643.29.jpg,images/state1_camera_l_1512123643.29.jpg,images/state1_camera_r_1512123643.29.jpg,2017-12-01 10:20:43.291510
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123644.68.jpg,images/state0_camera_l_1512123644.68.jpg,images/state0_camera_r_1512123644.68.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123644.68.jpg,images/state1_camera_l_1512123644.68.jpg,images/state1_camera_r_1512123644.68.jpg,2017-12-01 10:20:44.681653
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123646.03.jpg,images/state0_camera_l_1512123646.03.jpg,images/state0_camera_r_1512123646.03.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123646.03.jpg,images/state1_camera_l_1512123646.03.jpg,images/state1_camera_r_1512123646.03.jpg,2017-12-01 10:20:46.033490
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123647.43.jpg,images/state0_camera_l_1512123647.43.jpg,images/state0_camera_r_1512123647.43.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123647.43.jpg,images/state1_camera_l_1512123647.43.jpg,images/state1_camera_r_1512123647.43.jpg,2017-12-01 10:20:47.428359
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123648.9.jpg,images/state0_camera_l_1512123648.9.jpg,images/state0_camera_r_1512123648.9.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123648.9.jpg,images/state1_camera_l_1512123648.9.jpg,images/state1_camera_r_1512123648.9.jpg,2017-12-01 10:20:48.900047
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123650.31.jpg,images/state0_camera_l_1512123650.31.jpg,images/state0_camera_r_1512123650.31.jpg,forwardRight,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123650.31.jpg,images/state1_camera_l_1512123650.31.jpg,images/state1_camera_r_1512123650.31.jpg,2017-12-01 10:20:50.309967
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123651.73.jpg,images/state0_camera_l_1512123651.73.jpg,images/state0_camera_r_1512123651.73.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123651.73.jpg,images/state1_camera_l_1512123651.73.jpg,images/state1_camera_r_1512123651.73.jpg,2017-12-01 10:20:51.729812
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123653.21.jpg,images/state0_camera_l_1512123653.21.jpg,images/state0_camera_r_1512123653.21.jpg,forwardRight,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123653.21.jpg,images/state1_camera_l_1512123653.21.jpg,images/state1_camera_r_1512123653.21.jpg,2017-12-01 10:20:53.208352
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512123654.69.jpg,images/state0_camera_l_1512123654.69.jpg,images/state0_camera_r_1512123654.69.jpg,forward,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512123654.69.jpg,images/state1_camera_l_1512123654.69.jpg,images/state1_camera_r_1512123654.69.jpg,2017-12-01 10:20:54.687490
