state0_sensors,state0_camera_c,state0_camera_l,state0_camera_r,action,state1_sensors,state1_camera_c,state1_camera_l,state1_camera_r,time
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512157758.17.jpg,images/state0_camera_l_1512157758.17.jpg,images/state0_camera_r_1512157758.17.jpg,0,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512157758.17.jpg,images/state1_camera_l_1512157758.17.jpg,images/state1_camera_r_1512157758.17.jpg,2017-12-01 19:49:18.169356
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512157764.03.jpg,images/state0_camera_l_1512157764.03.jpg,images/state0_camera_r_1512157764.03.jpg,0,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512157764.03.jpg,images/state1_camera_l_1512157764.03.jpg,images/state1_camera_r_1512157764.03.jpg,2017-12-01 19:49:24.031409
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512157764.83.jpg,images/state0_camera_l_1512157764.83.jpg,images/state0_camera_r_1512157764.83.jpg,0,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512157764.83.jpg,images/state1_camera_l_1512157764.83.jpg,images/state1_camera_r_1512157764.83.jpg,2017-12-01 19:49:24.830808
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512157765.43.jpg,images/state0_camera_l_1512157765.43.jpg,images/state0_camera_r_1512157765.43.jpg,0,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512157765.43.jpg,images/state1_camera_l_1512157765.43.jpg,images/state1_camera_r_1512157765.43.jpg,2017-12-01 19:49:25.428692
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512157765.99.jpg,images/state0_camera_l_1512157765.99.jpg,images/state0_camera_r_1512157765.99.jpg,0,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512157765.99.jpg,images/state1_camera_l_1512157765.99.jpg,images/state1_camera_r_1512157765.99.jpg,2017-12-01 19:49:25.993793
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512157766.59.jpg,images/state0_camera_l_1512157766.59.jpg,images/state0_camera_r_1512157766.59.jpg,0,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512157766.59.jpg,images/state1_camera_l_1512157766.59.jpg,images/state1_camera_r_1512157766.59.jpg,2017-12-01 19:49:26.589591
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512157767.31.jpg,images/state0_camera_l_1512157767.31.jpg,images/state0_camera_r_1512157767.31.jpg,0,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512157767.31.jpg,images/state1_camera_l_1512157767.31.jpg,images/state1_camera_r_1512157767.31.jpg,2017-12-01 19:49:27.313820
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512157768.0.jpg,images/state0_camera_l_1512157768.0.jpg,images/state0_camera_r_1512157768.0.jpg,0,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512157768.0.jpg,images/state1_camera_l_1512157768.0.jpg,images/state1_camera_r_1512157768.0.jpg,2017-12-01 19:49:28.000089
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512157768.75.jpg,images/state0_camera_l_1512157768.75.jpg,images/state0_camera_r_1512157768.75.jpg,0,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512157768.75.jpg,images/state1_camera_l_1512157768.75.jpg,images/state1_camera_r_1512157768.75.jpg,2017-12-01 19:49:28.754176
"{'right': False, 'center': False, 'left': False}",images/state0_camera_c_1512157769.91.jpg,images/state0_camera_l_1512157769.91.jpg,images/state0_camera_r_1512157769.91.jpg,0,"{'right': False, 'center': False, 'left': False}",images/state1_camera_c_1512157769.91.jpg,images/state1_camera_l_1512157769.91.jpg,images/state1_camera_r_1512157769.91.jpg,2017-12-01 19:49:29.914425
